Id,Name,Birthdate,Handedness,School,Draft,Year,Team,Age,Pos.,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
10003,백용환,1989년 03월 20일,우투우타,서울영중초-양천중-장충고,08 KIA 2차 5라운드 37순위,2021,한화,32,C,36,-0.16,-0.25,95,93,81,10,12,1,0,4,25,4,0,0,9,3,0,24,4,2,0,0.148,0.258,0.309,0.567,0.061,51.0,-0.41
10008,김선빈,1989년 12월 18일,우투우타,화순초-화순중-화순고,08 KIA 2차 6라운드 43순위,2021,KIA,32,2B,130,3.51,-0.47,564,561,501,55,154,32,0,5,201,67,0,0,56,1,2,39,19,1,5,0.307,0.375,0.401,0.776,0.141,115.0,3.04
10008,김선빈,1989년 12월 18일,우투우타,화순초-화순중-화순고,08 KIA 2차 6라운드 43순위,2022,KIA,33,2B,140,3.47,-0.25,587,579,505,51,145,23,0,3,177,61,13,2,65,6,0,47,14,7,3,0.287,0.373,0.35,0.723,0.127,109.9,3.22
10008,김선빈,1989년 12월 18일,우투우타,화순초-화순중-화순고,08 KIA 2차 6라운드 43순위,2023,KIA,34,2B,119,2.92,-0.21,473,465,419,41,134,16,0,0,150,48,3,1,38,5,0,26,10,8,3,0.32,0.381,0.358,0.739,0.132,114.9,2.71
10008,김선빈,1989년 12월 18일,우투우타,화순초-화순중-화순고,08 KIA 2차 6라운드 43순위,2024,KIA,35,2B,116,3.06,-0.6,466,458,423,48,139,23,0,9,189,57,5,1,30,5,0,39,13,7,0,0.329,0.38,0.447,0.827,0.156,117.4,2.46
10008,김선빈,1989년 12월 18일,우투우타,화순초-화순중-화순고,08 KIA 2차 6라운드 43순위,2025,KIA,36,2B,84,2.74,-0.63,308,306,271,31,87,18,1,3,116,46,4,0,31,3,0,35,9,2,1,0.321,0.395,0.428,0.823,0.162,136.6,2.11
10014,안치홍,1990년 07월 02일,우투우타,구리-대치중-서울고,09 KIA 2차 1라운드 1순위,2021,롯데,31,2B,119,3.62,-0.61,490,484,421,58,129,30,2,10,193,82,3,6,52,3,2,58,10,5,9,0.306,0.379,0.458,0.837,0.156,122.3,3.01
10014,안치홍,1990년 07월 02일,우투우타,구리-대치중-서울고,09 KIA 2차 1라운드 1순위,2022,롯데,32,2B,132,3.78,-0.6,562,550,493,71,140,27,3,14,215,58,7,2,51,5,4,52,13,8,5,0.284,0.354,0.436,0.79,0.141,117.9,3.18
10014,안치홍,1990년 07월 02일,우투우타,구리-대치중-서울고,09 KIA 2차 1라운드 1순위,2023,롯데,33,2B,121,2.84,-0.46,494,487,425,57,124,20,1,8,170,63,3,3,49,10,3,53,14,5,5,0.292,0.374,0.4,0.774,0.142,117.5,2.38
10014,안치홍,1990년 07월 02일,우투우타,구리-대치중-서울고,09 KIA 2차 1라운드 1순위,2024,한화,34,DH,128,1.69,-0.31,533,531,473,64,142,21,0,13,202,66,3,2,49,6,1,70,10,1,4,0.3,0.37,0.427,0.797,0.146,107.9,1.38
10014,안치홍,1990년 07월 02일,우투우타,구리-대치중-서울고,09 KIA 2차 1라운드 1순위,2025,한화,35,DH,66,-1.37,0.03,196,191,174,9,30,4,0,2,40,18,3,0,16,1,2,39,4,4,1,0.172,0.245,0.23,0.475,0.028,22.5,-1.34
