Id,Name,Birthdate,Handedness,School,Draft,Year,Team,Age,Pos.,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
10058,양현종,1988년 03월 01일,좌투좌타,광주학강초-광주동성중-광주동성고,07 KIA 2차 1라운드 1순위,2022,KIA,34,P,30,30,0,0,0,0,12,7,0,0,175.1,75,86,85.15,743,170,33.0,3.0,14,50,3,1,141,11.0,0,3,3.85,4.41,4.37,3.66,1.25,2.93
10058,양현종,1988년 03월 01일,좌투좌타,광주학강초-광주동성중-광주동성고,07 KIA 2차 1라운드 1순위,2023,KIA,35,P,29,29,0,0,0,0,9,11,0,0,171.0,68,78,76.45,729,181,33.0,1.0,13,48,1,1,133,9.0,0,5,3.58,4.11,4.02,3.7,1.34,3.59
10058,양현종,1988년 03월 01일,좌투좌타,광주학강초-광주동성중-광주동성고,07 KIA 2차 1라운드 1순위,2024,KIA,36,P,29,29,0,3,3,0,11,5,0,0,171.1,78,86,83.1,727,174,37.0,6.0,21,41,6,0,129,11.0,0,2,4.1,4.52,4.37,4.69,1.25,4.34
10058,양현종,1988년 03월 01일,좌투좌타,광주학강초-광주동성중-광주동성고,07 KIA 2차 1라운드 1순위,2025,KIA,37,P,30,30,0,0,0,0,7,9,0,0,153.0,86,101,96.2,677,171,23.0,4.0,12,57,4,1,109,14.0,0,10,5.06,5.94,5.66,4.35,1.49,0.86
10075,진해수,1986년 06월 26일,좌투좌타,동삼초-경남중-부경고,05 KIA 2차 7라운드 50순위,2021,LG,35,P,50,0,50,9,0,0,1,0,0,5,44.1,12,17,16.85,188,41,4.0,0.0,2,18,3,1,39,2.0,0,1,2.44,3.45,3.42,3.5,1.33,0.83
10075,진해수,1986년 06월 26일,좌투좌타,동삼초-경남중-부경고,05 KIA 2차 7라운드 50순위,2022,LG,36,P,64,0,64,7,0,0,4,0,0,12,45.0,12,13,14.05,180,39,6.0,3.0,1,11,1,0,35,0.0,0,2,2.4,2.6,2.81,2.93,1.11,1.24
10124,고효준,1983년 02월 08일,좌투좌타,서원초-세광중-세광고,02 롯데 2차 1라운드 6순위,2022,SSG,39,P,45,0,45,6,0,0,1,0,0,7,38.2,16,18,21.1,174,35,6.0,2.0,1,20,2,2,35,5.0,0,7,3.72,4.19,4.91,3.51,1.42,0.26
10124,고효준,1983년 02월 08일,좌투좌타,서원초-세광중-세광고,02 롯데 2차 1라운드 6순위,2023,SSG,40,P,73,0,73,7,0,0,4,1,0,13,58.0,29,31,29.8,262,49,3.0,0.0,3,42,3,0,66,3.0,0,4,4.5,4.81,4.62,4.03,1.57,0.67
10126,김광현,1988년 07월 22일,좌투좌타,안산-덕성초-안산중앙중-안산공고,07 SK 1차 1순위,2022,SSG,34,P,28,28,0,0,0,0,13,3,0,0,173.1,41,48,48.0,694,141,16.0,2.0,10,45,5,2,153,9.0,0,1,2.13,2.49,2.49,3.14,1.07,6.63
10126,김광현,1988년 07월 22일,좌투좌타,안산-덕성초-안산중앙중-안산공고,07 SK 1차 1순위,2023,SSG,35,P,30,30,0,0,0,0,9,8,0,0,168.1,66,75,72.75,713,163,30.0,0.0,11,70,2,0,119,9.0,0,5,3.53,4.01,3.89,4.19,1.38,3.63
