year,순위,팀명,AVG,G,PA,AB,R,H,HR
2021,1,롯데,0.278,144,5726,5009,727,1393,107
2021,2,두산,0.268,144,5645,4900,738,1314,110
2021,3,삼성,0.267,144,5552,4836,712,1292,133
2021,4,KT,0.265,144,5627,4810,719,1276,106
2021,5,SSG,0.261,144,5736,4899,755,1278,185
2021,6,NC,0.261,144,5532,4808,702,1254,170
2021,7,키움,0.259,144,5653,4874,722,1262,91
2021,8,LG,0.25,144,5533,4750,654,1188,110
2021,9,KIA,0.248,144,5577,4831,568,1198,66
2021,10,한화,0.237,144,5495,4685,599,1111,80
2022,1,KIA,0.272,144,5703,5000,720,1361,113
2022,2,삼성,0.27,144,5647,5023,663,1358,103
2022,3,LG,0.269,144,5627,4927,715,1325,118
2022,4,롯데,0.267,144,5534,4948,605,1320,106
2022,5,NC,0.257,144,5585,4899,646,1260,105
2022,6,두산,0.255,144,5510,4891,638,1249,101
2022,7,SSG,0.254,144,5642,4893,720,1245,138
2022,8,KT,0.254,144,5547,4864,631,1237,119
2022,9,키움,0.252,144,5655,4953,621,1250,94
2022,10,한화,0.245,144,5513,4878,564,1196,88
2023,1,LG,0.279,144,5687,4881,767,1364,93
2023,2,KIA,0.276,144,5607,4954,726,1365,101
2023,3,NC,0.27,144,5606,4895,679,1321,98
2023,4,KT,0.265,144,5649,4973,672,1316,89
2023,5,롯데,0.265,144,5576,4871,653,1289,69
2023,6,삼성,0.263,144,5581,4912,636,1290,88
2023,7,키움,0.261,144,5729,5062,607,1323,61
2023,8,SSG,0.26,144,5630,4923,658,1279,125
2023,9,두산,0.255,144,5538,4859,620,1238,100
2023,10,한화,0.241,144,5628,4906,604,1184,100
2024,1,KIA,0.301,144,5812,5124,858,1542,163
2024,2,롯데,0.285,144,5766,5110,802,1454,125
2024,3,LG,0.283,144,5725,4919,808,1394,115
2024,4,KT,0.279,144,5808,5072,767,1413,145
2024,5,두산,0.276,144,5680,4975,789,1375,150
2024,6,NC,0.274,144,5757,5009,773,1371,172
2024,7,SSG,0.273,144,5647,5001,756,1367,152
2024,8,한화,0.27,144,5702,5005,745,1351,127
2024,9,삼성,0.269,144,5697,4975,770,1336,185
2024,10,키움,0.264,144,5671,5015,672,1326,104
2025,1,LG,0.278,144,5713,4919,788,1366,130
2025,2,삼성,0.271,144,5671,4899,775,1330,161
2025,3,롯데,0.267,144,5682,4944,676,1318,75
2025,4,한화,0.266,144,5547,4892,689,1303,116
2025,5,두산,0.262,144,5581,4952,647,1298,102
2025,6,NC,0.26,144,5570,4816,732,1254,128
2025,7,KIA,0.258,144,5619,4944,668,1276,144
2025,8,SSG,0.256,144,5517,4875,609,1249,127
2025,9,KT,0.253,144,5588,4845,648,1228,104
2025,10,키움,0.244,144,5508,4935,581,1202,104
