Year,Team,Off_Score,Pit_Score,Typology,Top_Adv,Top_Gap,OBP_diff,R_PA_diff,SO_PA_diff,FIP_diff,ERA_diff,HR_9_diff
2021,SSG,1.0131537258101537,-0.6878378329605868,Offense-driven,"HR_PA(+1.76), ISO(+1.69), BB_HBP_PA(+1.11)","HR_9(-1.42), ERA(-0.71), FIP(-0.70)",-0.002490392317910428,0.003848274498366805,-0.0021420971445625936,1.339341397849462,1.1603547000312484,0.44130501477849104
2021,KT,0.4354487913377497,1.3893234424678256,Balanced Strong,"BB_9(+1.73), FIP(+1.59), ERA(+1.40)","ISO(-0.33), HR_PA(-0.27), SO_PA(-0.19)",0.0,0.0,0.0,0.0,0.0,0.0
2021,롯데,0.30002666000535677,-0.8937230572048867,Offense-driven,"OBP(+1.29), SO_PA(+0.58), K_9(+0.56)","ERA(-1.72), BB_HBP_PA(-1.18), BB_9(-1.13)",0.00017694786948685426,-0.0008347799914548149,-0.0168721664136334,1.4485984848484845,1.7153433461743286,0.3372005516722373
2021,두산,0.29461065913022766,0.12672488259271195,Balanced Strong,"R_PA(+0.78), SO_PA(+0.68), HR_9(+0.53)","BB_HBP_PA(-0.65), H_9(-0.56), HR_PA(-0.17)",-0.005949007915766136,0.002935661551124291,-0.019049761687873895,1.023416666666666,0.585769159919884,0.12737792216364707
2021,NC,0.16154057239952851,0.05173383779642397,Balanced Strong,"HR_PA(+1.53), ISO(+1.47), K_9(+0.78)","BB_HBP_PA(-0.91), SO_PA(-0.72), HR_9(-0.45)",-0.013112597491926503,-0.0008555601768848176,0.01154893741213131,0.7589583333333332,0.8604608266944882,0.28500525433007284
2021,삼성,0.08592493555460096,0.08740486233513424,Balanced Strong,"BB_9(+0.98), SO_PA(+0.89), R_PA(+0.53)","BB_HBP_PA(-1.52), H_9(-0.70), HR_9(-0.69)",-0.012261519078473726,0.00044257261725358377,-0.023636271899404898,0.9767129629629627,0.6083487990288234,0.32504966671808533
2021,키움,0.04536393464644706,-0.2743105338375852,Offense-driven,"HR_9(+0.65), R_PA(+0.48), BB_9(+0.36)","K_9(-2.18), HR_PA(-0.69), FIP(-0.45)",-0.008912907472920228,-7.970751147870492e-05,0.00017252667277450895,1.191416666666667,0.6373065998638663,0.10860174630068453
2021,LG,-0.1375413430882123,1.4897535271487983,Pitching-driven,"H_9(+2.09), FIP(+1.92), HR_9(+1.62)","OBP(-0.57), R_PA(-0.47), ISO(-0.24)",-0.014103108204545634,-0.00959961075096781,-0.018740769357933784,-0.1935416666666665,-0.0927593715122983,-0.046256512846093334
2021,KIA,-1.091583324439792,-0.8352045328632605,Overall Weak,"SO_PA(+0.77), BB_HBP_PA(+0.08), H_9(-0.38)","R_PA(-2.10), ISO(-1.65), HR_PA(-1.33)",-0.018945045090034418,-0.025952631233060006,-0.020957699086715492,1.4219109195402302,1.24137015749012,0.34131707093281605
2021,한화,-1.1069446113560604,-0.4538645954745745,Overall Weak,"BB_HBP_PA(+1.30), H_9(+0.65), HR_9(-0.00)","SO_PA(-2.40), OBP(-1.58), BB_9(-1.55)",-0.02188176351883403,-0.018791313047734,0.04793068837100081,1.3267708333333328,0.9812936910166816,0.21399444690347935
2022,LG,1.0847475925378527,0.7385490147761116,Balanced Strong,"ERA(+1.64), H_9(+1.45), OBP(+1.41)","K_9(-0.23), FIP(+0.33), BB_9(+0.64)",0.009918164228415682,-0.0005258035658366189,-0.026297802286013694,-1.0475862068965514,-0.5715128193563621,-0.24209042715594442
2022,SSG,1.051787135376157,0.09107319725473415,Balanced Strong,"ISO(+2.17), HR_PA(+2.06), R_PA(+1.32)","HR_9(-1.22), K_9(-0.48), SO_PA(-0.17)",0.0,0.0,0.0,0.0,0.0,0.0
2022,KIA,0.9776783840666214,-0.16761590719007105,Offense-driven,"OBP(+1.70), R_PA(+1.16), SO_PA(+0.75)","HR_9(-0.74), BB_9(-0.52), ERA(-0.29)",0.012491014875845585,-0.0013649787113668155,-0.018169849472559396,-0.240390804597701,0.3166093066130986,-0.054627152935279644
2022,NC,0.07997884765850956,0.36828073718529386,Balanced Strong,"K_9(+1.52), H_9(+0.71), SO_PA(+0.59)","BB_9(-0.32), HR_PA(-0.24), ISO(-0.19)",-0.001972743896351825,-0.01194735607765901,-0.014886211198337496,-0.5657982120051086,0.016827195089570868,-0.12162155494560412
2022,삼성,-0.18446367962041094,-0.41003458439813534,Overall Weak,"FIP(+0.31), SO_PA(+0.25), BB_9(+0.23)","BB_HBP_PA(-1.40), HR_9(-1.27), H_9(-1.25)",-0.002096328405621295,-0.010206848168197905,-0.008314623048681108,-0.23655172413793135,0.4454263532269258,0.004879966169326733
2022,KT,-0.2083142190566498,0.8481534383520589,Pitching-driven,"BB_9(+1.93), ERA(+1.13), HR_9(+1.03)","SO_PA(-1.33), OBP(-0.41), R_PA(-0.33)",-0.0064085904218489365,-0.013859138180916317,0.02273316220698421,-1.3869241379310342,-0.3372778160422807,-0.25568032817795616
2022,키움,-0.28484672878372247,0.31416378707439324,Pitching-driven,"BB_HBP_PA(+0.96), HR_9(+0.82), H_9(+0.61)","HR_PA(-1.12), ISO(-0.80), R_PA(-0.79)",-0.0026359576874860347,-0.017799997555281208,-0.008041902480167201,-0.6317241379310348,-0.0921741407676504,-0.23264334117278873
2022,두산,-0.5032204720071027,-0.4896322522450382,Overall Weak,"FIP(+0.32), SO_PA(+0.23), R_PA(-0.08)","OBP(-1.00), BB_9(-0.97), ISO(-0.94)",-0.011674710441397507,-0.011824847478497713,-0.007776650490777304,-0.5572796934865902,0.5715477764640933,-0.07438617102507616
2022,롯데,-0.5788567787279374,0.31615875034084207,Pitching-driven,"K_9(+1.96), HR_9(+1.53), SO_PA(+0.41)","BB_HBP_PA(-1.79), H_9(-1.35), R_PA(-0.85)",-0.008066839385313829,-0.018290143352805807,-0.011460460916608795,-0.364316730523627,0.5654645098762399,-0.31294162931103287
2022,한화,-1.4344900814433177,-1.6090961811501892,Overall Weak,"BB_HBP_PA(-0.15), HR_9(-0.33), H_9(-0.70)","FIP(-2.85), SO_PA(-2.14), BB_9(-1.76)",-0.016840896723968712,-0.025310675234901214,0.038740984941461304,93.16191222570535,0.9217656389412112,-0.10215128383067318
2023,LG,1.5873901979646436,0.6409432977285787,Balanced Strong,"OBP(+2.25), SO_PA(+2.08), BB_HBP_PA(+1.99)","K_9(-0.45), HR_PA(-0.03), FIP(+0.31)",0.0,0.0,0.0,0.0,0.0,0.0
2023,KIA,0.49940425150695017,-0.009213875770089919,Offense-driven,"R_PA(+1.29), OBP(+0.61), H_9(+0.55)","BB_HBP_PA(-1.10), BB_9(-1.04), K_9(-0.12)",-0.01653335934451805,-0.005387993586980888,0.02930444181829661,-1.1485984848484847,0.4332624861623504,0.11559451559179723
2023,SSG,0.4182895841170973,-1.4584745745088001,Offense-driven,"HR_PA(+1.80), ISO(+1.74), SO_PA(+0.57)","FIP(-2.85), BB_9(-1.74), HR_9(-0.80)",-0.025555918812782574,-0.018172729490243095,0.026120493562801494,599.9604848484848,0.656472291227729,0.209825686314289
2023,NC,0.4097544093206239,0.6153418795079135,Balanced Strong,"H_9(+1.89), K_9(+1.63), ERA(+1.07)","HR_9(-0.51), SO_PA(-0.12), BB_9(-0.01)",-0.01586764409020669,-0.013727161827521303,0.037929126745239794,-0.9429437229437232,0.12283617102399669,0.18090819798366276
2023,두산,-0.13747322559625974,0.3944428441005018,Pitching-driven,"H_9(+0.75), ERA(+0.73), ISO(+0.71)","OBP(-0.65), R_PA(-0.64), SO_PA(+0.07)",-0.0293565833746387,-0.022915225546876195,0.03468127208830621,-0.27758658008658,0.22191016335380187,0.11509642945342691
2023,KT,-0.20722532878324695,0.5007759371015271,Pitching-driven,"BB_9(+1.89), ERA(+0.69), HR_9(+0.68)","SO_PA(-0.74), K_9(-0.56), BB_HBP_PA(-0.43)",-0.023605150214592197,-0.015909891665789697,0.0487470795726172,-1.3599766899766896,0.23435219483963055,0.06454717464596871
2023,롯데,-0.3620802335473609,0.33422968899674277,Pitching-driven,"K_9(+1.44), HR_9(+0.88), FIP(+0.32)","HR_PA(-1.27), ISO(-1.19), H_9(-0.60)",-0.022746417025490684,-0.0177599607350349,0.03796496275454181,-0.5244183773216031,0.4216421488443274,0.044714745899204766
2023,삼성,-0.36484525274379787,-0.780760130448803,Overall Weak,"BB_9(+0.89), SO_PA(+0.37), FIP(+0.31)","HR_9(-2.03), H_9(-1.74), K_9(-1.63)",-0.027048973417282796,-0.020890504848825195,0.029592675995621015,0.5933235581622682,0.9152992041417747,0.330781157159345
2023,한화,-0.660694390907642,-0.07772308603175393,Overall Weak,"BB_HBP_PA(+1.19), K_9(+0.59), HR_PA(+0.41)","SO_PA(-1.69), OBP(-1.38), R_PA(-1.15)",-0.03675555798743857,-0.0275484593161201,0.0650925957516795,-0.825181818181818,0.6766438084690307,0.18981074465172487
2023,키움,-1.1825200113310066,-0.15956198067581637,Overall Weak,"HR_9(+0.73), FIP(+0.31), BB_9(-0.29)","HR_PA(-1.81), ISO(-1.72), R_PA(-1.30)",-0.02995170980936379,-0.028916826318353003,0.04993231754765681,-0.15120265151515166,0.6942112976318082,0.0588751380573892
