Year,Team,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,SO,GDP,SH,SF,ePA,BB_HBP_PA,SO_PA,HR_PA,AVG_calc,OBP_calc,SLG_calc,ISO_calc,R_PA,H_minus_HR_PA,GDP_PA
2021,KIA,5577,4831,568,1198,183,21,66,1621,546,73,31,595,73,921,119,41,37,5526,0.1197776582391967,0.16514254975793438,0.011834319526627219,0.24798178430966675,0.3370664739884393,0.33554129579797143,0.08755951148830468,0.1018468710776403,0.20297651066881836,0.021337636722252105
2021,KT,5626,4810,719,1276,219,11,106,1835,673,112,46,644,58,1047,105,69,44,5541,0.12477781727692855,0.18610024884464985,0.018841094916459297,0.2652806652806653,0.3560115190784737,0.3814968814968815,0.1162162162162162,0.1277995023107003,0.2079630287948809,0.01866334873800213
2021,LG,5533,4750,654,1188,210,11,110,1750,621,92,34,592,94,926,102,52,45,5471,0.12398337249231882,0.16735947948671606,0.019880715705765408,0.2501052631578947,0.3419084108739281,0.3684210526315789,0.11831578947368421,0.11819989155973251,0.19483101391650098,0.01843484547261883
2021,NC,5530,4806,702,1254,203,17,170,2001,670,101,46,511,111,1093,94,59,43,5460,0.11247739602169982,0.19764918625678118,0.03074141048824593,0.26092384519350814,0.3428989215865472,0.416354556803995,0.15543071161048688,0.12694394213381555,0.19602169981916817,0.016998191681735986
2021,SSG,5735,4898,755,1278,204,13,185,2063,712,100,43,636,94,1055,106,55,52,5672,0.12728857890148212,0.1839581517000872,0.03225806451612903,0.26092282564311964,0.35352112676056335,0.421192323397305,0.16026949775418536,0.13164777680906714,0.1905841325196164,0.01848299912816042
2021,두산,5645,4900,738,1314,235,17,110,1913,698,81,37,560,86,943,137,46,53,5590,0.11443755535872453,0.1670504871567759,0.01948627103631532,0.26816326530612244,0.35006251116270765,0.39040816326530614,0.1222448979591837,0.13073516386182463,0.2132860938883968,0.024269264836138175
2021,롯데,5726,5009,727,1393,266,10,107,2000,697,60,31,579,54,969,114,38,46,5675,0.11054837582954942,0.16922808243101642,0.01868669228082431,0.27809942104212415,0.35618846694796064,0.3992812936713915,0.12118187262926733,0.12696472231924555,0.2245895913377576,0.019909186168354874
2021,삼성,5552,4836,712,1292,204,18,133,1931,669,116,44,545,55,902,98,48,68,5493,0.10806916426512968,0.16246397694524495,0.023955331412103747,0.26716294458229944,0.34375,0.3992969396195203,0.13213399503722084,0.1282420749279539,0.20875360230547552,0.017651296829971182
2021,키움,5653,4874,722,1262,244,28,91,1835,671,97,26,595,93,1053,93,35,56,5606,0.12170528922695914,0.18627277551742438,0.01609764726693791,0.2589249076733689,0.34709861160555355,0.37648748461222814,0.11756257693885924,0.12771979479922166,0.2071466477976296,0.016451441712365115
2021,한화,5495,4685,599,1111,213,17,80,1598,554,109,56,633,74,1286,110,54,49,5432,0.1286624203821656,0.2340309372156506,0.014558689717925387,0.23713980789754535,0.33412975555963975,0.34108858057630737,0.10394877267876201,0.10900818926296633,0.18762511373976343,0.020018198362147407
2022,KIA,5703,5000,720,1361,250,19,113,1988,677,103,34,542,63,983,111,61,36,5624,0.10608451692091882,0.17236542170787306,0.019814132912502194,0.2722,0.34851976599893636,0.3976,0.1254,0.1262493424513414,0.21883219358232509,0.0194634402945818
2022,KT,5547,4864,631,1237,192,19,119,1824,588,89,34,519,49,1183,105,70,44,5464,0.1023976924463674,0.21326843338741663,0.02145303767802416,0.2543174342105263,0.3296201607012418,0.375,0.12068256578947367,0.11375518298179196,0.20155038759689922,0.018929150892374257
2022,LG,5626,4926,715,1325,208,33,118,1953,674,102,46,501,103,924,109,49,46,5565,0.10735869178812656,0.16423746889441876,0.020974049057945254,0.2689809175801868,0.34594691535150646,0.39646772228989036,0.12748680470970358,0.12708851759687168,0.21453963739779594,0.019374333451830785
2022,NC,5585,4899,646,1260,230,15,105,1835,613,100,39,501,88,981,112,50,47,5517,0.10546105640107431,0.1756490599820949,0.018800358102059087,0.25719534598897736,0.33405600722673895,0.3745662380077567,0.11737089201877932,0.11566696508504924,0.20680393912264997,0.020053715308863025
2022,SSG,5642,4893,720,1245,242,18,138,1937,682,98,39,530,95,1075,96,77,47,5550,0.11077632045373981,0.19053527118043248,0.02445941155618575,0.2544451256897609,0.3360287511230907,0.395871653382383,0.1414265276926221,0.12761432116270827,0.19620701878766394,0.017015242821694435
2022,두산,5510,4891,638,1249,210,12,101,1786,592,90,40,450,71,1007,116,53,45,5447,0.09455535390199638,0.18275862068965518,0.018330308529945553,0.2553670006133715,0.3243540406816932,0.3651604988754856,0.1097934982621141,0.11578947368421053,0.20834845735027224,0.021052631578947368
