Year,Team,IP,H,HR,BB,SO,ER,FIP,BB_9,K_9,HR_9,ERA,H_9
2021,KIA,1261.0,1283,134,622,951,693,6.124827586206897,4.439333862014275,6.787470261697066,0.9563838223632039,4.9460745440126885,9.157018239492466
2021,KT,1258.3999999999999,1176,86,489,1062,518,4.702916666666667,3.497298156389066,7.595359186268278,0.6150667514303879,3.7047043865225686,8.410680228862049
2021,LG,1265.8,1126,80,545,1068,508,4.509375,3.8750197503555066,7.593616685100332,0.5688102385842946,3.6119450150102703,8.006004108073945
2021,NC,1249.9,1268,125,592,1055,634,5.461875,4.262741019281542,7.596607728618289,0.9000720057604608,4.565165213217057,9.130330426434114
2021,SSG,1252.3999999999999,1279,147,612,1003,677,6.042258064516129,4.397955924624721,7.207761098690515,1.056371766208879,4.865059086553817,9.191152986266369
2021,두산,1260.7,1295,104,587,1045,601,5.726333333333333,4.190529071150948,7.460141191401602,0.742444673594035,4.290473546442453,9.244863964464185
2021,롯데,1257.0,1328,133,651,1049,757,6.151515151515151,4.6610978520286395,7.5107398568019095,0.9522673031026253,5.420047732696897,9.50835322195704
2021,삼성,1254.1,1297,131,530,1038,601,5.67962962962963,3.803524439837334,7.449166733115382,0.9401164181484731,4.313053185551392,9.307870185790607
2021,키움,1256.1,1281,101,566,900,606,5.894333333333334,4.055409601146406,6.448531167900645,0.7236684977310724,4.342010986386435,9.178409362311918
2021,한화,1248.4,1204,115,670,1011,650,6.0296875,4.830182633771227,7.288529317526433,0.8290611983338673,4.68599807753925,8.679910285165011
2022,KIA,1274.3,1286,120,526,1042,599,5.451333333333333,3.7149807737581417,7.359334536608334,0.8475241308953936,4.230557953386173,9.082633602762302
2022,KT,1280.8,1243,92,364,1074,509,4.3048,2.5577763897564023,7.54684572142411,0.6464709556527171,3.5766708307307935,8.734384759525296
2022,LG,1281.7,1179,94,451,1031,476,4.644137931034483,3.166887727237263,7.239603651400484,0.6600608566747288,3.342435827416712,8.278848404462822
2022,NC,1279.9,1230,111,515,1168,559,5.125925925925926,3.6213766700523475,8.213141651691538,0.7805297288850691,3.930775841862645,8.649113211969684
2022,SSG,1296.9,1223,130,457,1023,564,5.691724137931034,3.171408743927828,7.099236641221373,0.9021512838306731,3.913948646773074,8.487161693268563
2022,두산,1272.1,1336,117,555,977,634,5.134444444444444,3.9265780992060377,6.912192437701439,0.8277651128055971,4.4854964232371675,9.45208710007075
2022,롯데,1267.8,1364,83,487,1191,631,5.327407407407407,3.457169900615239,8.454803596781828,0.5892096545196404,4.479413156649314,9.682915286322764
2022,삼성,1280.0,1370,129,478,971,620,5.455172413793103,3.3609375,6.82734375,0.90703125,4.359375,9.6328125
2022,키움,1290.5,1247,96,490,1010,548,5.06,3.4172801239829522,7.043781480046493,0.6695079426578845,3.8217745060054242,8.696629213483146
2022,한화,1260.0,1310,112,602,974,677,98.85363636363638,4.3,6.957142857142857,0.8,4.835714285714285,9.357142857142858
2023,KIA,1263.4,1244,89,564,980,584,4.712916666666667,4.017729935095773,6.98116194396074,0.6340034826658223,4.1602026278296655,8.861801488048123
2023,KT,1281.4,1326,83,413,968,564,4.501538461538462,2.9007335726549086,6.798813797409084,0.5829561417199938,3.9612923365069452,9.31325113157484
2023,LG,1284.7,1266,74,491,977,532,5.861515151515151,3.439713551801977,6.8443994706935465,0.5184089670740251,3.726940141667315,8.868996652915078
2023,NC,1274.1,1160,99,513,1090,545,4.918571428571428,3.6237344007534733,7.699552625382624,0.6993171650576878,3.849776312691312,8.194019307746645
2023,SSG,1285.3,1354,104,612,974,626,605.822,4.285380844938925,6.820197619232864,0.7282346533883141,4.383412432895044,9.481055006613243
2023,두산,1278.6,1245,90,501,1013,561,5.583928571428571,3.526513374002816,7.130455185358987,0.633505396527452,3.948850305021117,8.763491318629752
2023,롯데,1262.6,1324,79,529,1069,582,5.337096774193548,3.770790432440995,7.6199904958023135,0.5631237129732298,4.1485822905116425,9.437668303500713
