Category,Metric,Strong Team Model
Offense,OBP_calc,0.3566800369659223
Offense,BB_HBP_PA,0.11391349782793372
Offense,SO_PA,0.1692333298477672
Offense,ISO_calc,0.1324411321888051
Offense,HR_PA,0.02209242089929766
Offense,R_PA,0.13517755265352963
Offense,H_minus_HR_PA,0.21627087774574577
Offense,GDP_PA,0.0178276332348338
Pitching,ERA,3.936593707934731
Pitching,FIP,5.663155922405366
Pitching,BB_9,3.472436395778068
Pitching,K_9,7.410955587466072
Pitching,HR_9,0.7337412651341475
Pitching,H_9,8.816838500437795
